id	review	score
66	Okiem Laika...czyli kilka słów o LA LA LAND Nie jestem filmoznawcą, nie bywam na każdej premierze za to każdą galę Oskarów przesypiam a filmy na masową skalę zacząłem oglądać gdy kupiłem kartę Unlimited. Ale z racji wszech obecnego zachwytu nad filmem LA LA LAND i aż 14 nominacjami, postanowiłem zabrać głos. Niestety chyba mam inne kryteria dzieła. Ponad 2h projekcja filmu, okazała się wyzwaniem nie tylko dla ...	6
67	Każdy ten film odbiera inaczej i wctym tkwi jego sila To jest film, który trzeba obejrzeć, nie sugerując się opiniami innych. Jednym może się spodobać, innym nie. Jedno jest pewne, nie jest to głupiutka komedyjka w stylu Hollywood. Film skłania do refleksji. Poza tym dostarcza dawkę cudownej muzyki, która oczywiście nie do każdego trafi, tak jak nie każdy będzie miał po tym filmie przemyślenia.	9
68	Całokształt. Nie jest to mój klimat, ale film jest genialny. Według własnego uznania przyznałbym może 8, ale całokształt filmu to pieprzone arcydzieło. Żałuję zakończenia, nie takiego się spodziewałem i aż smutno mi się zrobiło :/	10
69	Hipnoza To coś niesamowitego, nienawidzić musicali i wyjść z sali kinowej tak oczarowanym! Stone i Gosling razem na ekranie to para, która przejdzie do historii kina! Napisalem kilka slow o najnowszym filmie Chazella. http://pdf.edu.pl/patryk-bujal ski/kultura/kochajmy-marzyciel i	9
70	10!! Arcydzieło, dużą literą pisane! Wyobraźcie sobie, że oglądając ten film doznałem emocji jakbym był zakochany! :) Nie chodzi o zauroczenie do głównej aktorki, tylko mój organizm wydzielał takie hormony jak podczas pierwszych spotkań z ukochaną! :) Taki delikatny ból brzucha, uśmiech, którego nie da się zakamuflować i ta chęć krzyczenia: WOW! :D Coś nieprawdopodobnego, film oglądałem tydzień temu, a do teraz ...	10
71	Zakończenie takie z dupy Uwaga Spoiler! Ten temat może zawierać treści zdradzające fabułę.	7
72	Klimatyczny, uroczy, świetny. Jak w temacie. Smakować go można minuta po minucie, ujęcie po ujęciu. Uczta dla ucha i oczu. Urocze, z klimatem, muzyka, zdjęcia, aktorstwo, montaż i reżyseria.	9
73	Niedowierzanie Chryste, jak ja się dziś wynudziłem na tym filmie. Pierwsze 40 minut było koszmarem. Nie mogę uwierzyć, że tak przeciętna gra aktorska, błahy scenariusz i proste kalki potrafiły nabić tyle nominacji. Whiplash przy tym to było arcydzieło. Jeszcze to drewno Gosling. Z drugiej strony nie bardzo było jak się wykazać. Zaś rola Emmy... no cóż. Te wstawki z jej przesłuchań to był szczyt jej aktorstwa.	5
74	To uczucie... kiedy wychodzisz z seansu i musisz wracać z pięknego kolorowego la la landu do szarej rzeczywistości.. ktoś też tak miał?	8
75	Oscary Gra aktorska w miare dobra, muzyka kapitalna, zdjecia tez na poziomie. Ale czy to film na miare oscara? Moim zdaniem nie.	7
76	Oryginalny, dobry film-musical Nie jest to najlepszy musical jaki widziałem, ale wg mnie jest dobry. Lubię taką swingowo-jazzową muzykę, ale najbardziej wpadło mi w ucho Someone in the crowd i szkoda, że ten utwór właśnie nie ma nominacji do Oscara. Aktorzy włożyli sporo pracy tutaj i szczerze mówiąc zaskoczyło mnie na duży plus, że pokazywali faktycznie aktora grającego na pianie, co się rzadko zdarza w filmach. ...	7
77	Owszem, płakałem po zakończeniu.. ...z powodu zmarnowania 2 godzin swojego życia.	4
78	Szału nie ma Po 7 złotych globach i bodajże 14 nominacjach do oscara możnaby spodziewać się arcydzieła, jednakże nie do konca tak jest. Pod względem wizualnym film ten jest przepiękny - prawie kazda scena wyglada jak malowany obraz. Niestety poza tym film ten niestety nie jest niczym nadzwyczajnym. Pierwsze dwa akty są bardzo wolne, więc zdecydowanie nie polecam tego filmu osobom, które lubia filmy, w ktorych chociaz ...	6
79	Przepiękny i klimatyczny Praca kamery i gra kolorów w tym filmie to coś magicznego. Piękny klimat, bardzo dobra gra aktorska Emma-świetna, Ryan-też, a ostatnia scena w ich wykonaniu-Rewelacja. Muzyka i tańce- umiarkowane, ale wspaniałe zwłaszcza City of stars. Piękne przesłanie no i to zakończenie. Podsumowując - Film świetny, jedyny w swoim rodzaju, po prostu piękny film.	9
80	Zawsze będziemy mieli Paryż Nie wierzę w to co się stało. Nie znoszę musicali, a ten mi się podobał. Świetna kolorowa scenografia. Zdjęcia przeplatające geniusz długich ujęć z ujęciami przeciętnymi. Montażysta nie wypadł już tak dobrze. Już po pierwszej efektownej scenie na autostradzie jest błąd w postaci nagle pojawiających się aut głównych bohaterów. Bardzo dobra Emma Stone. Niestety z czasem film przymula, ale ...	7
81	ujdzie! To dzieło ze strony muzycznej i choreograficznej można oceniać wysoko ale reszta pozostaje milczeniem.	4
82	Czy warto marzyć... Musicale są jednym z niedocenianych gatunków filmowych w świecie kina. Zazwyczaj kojarzyłam je z przesłodzonym, wymuszonym i empatycznym śpiewaniem głównych bohaterów oraz nudnymi, chaotycznymi choreografiami. Wybierając się na film la la land w reżyserii Damiena Chazellea byłam step-tycznie nastawiona. Obawiałam się ckliwej historii miłosnej, która wymusza w odbiorcy płacz. Treści ...	8
83	Cieszę się, że został nominowany do Oscara... I mam nadzieję, że go dostanie. W końcu film bez przesadnej oryginalności na siłę, gdzie głównymi bohaterami jest biała kobieta i biała mężczyzna, a w filmie nie pokazują się nic nie wnoszące nagości, wulgaryzmy, a przede wszystkim jakieś pseudoromanse gejów, lesbijek, transwestytów i innych dziwadeł. Odzyskuję wiarę w ludzi, jak widzę, że do Oscarów nominują normalny ...	10
84	Po Whiplashu Wszystko od Chazelle biorę w ciemno. Nawet tak banalnie brzmiące fabuły jak ta ;)	9
85	aktorzy drugoplanowi? Rozwijanie wątków bohaterów drugoplanowych było niemożliwe, jednka postacie mogłyby być choć troszkę mniej irytujące. Laska wcielająca się w siostrę Seby sprawiła, że chętnie po sebkowemu spuściłabym jej wpie***l za taka grę aktorską. Podobnie te całe przyjaciółki Mii. Dobór aktorów drugoplanowych to jakiś żart. Powinni równoważyć siły. Troche słodkiej miłości, troche zabawnego tła. Niestety coś ...	8
86	14 nominacji do Oscara... Uwaga Spoiler! Ten temat może zawierać treści zdradzające fabułę.	4
87	Świetny! Poszłam do kina z wielkimi oczekiwaniami i nie zawiodłam się, już od pierwszej sceny (!) film mnie zachwycił. Przede wszystkim jest cudowny wizualnie, muzyka jest po prostu wspaniała, a Emma i Ryan naprawdę się postarali. Po zakończonym seansie miałam ochotę bić brawo, a wracając do domu tańczyć :D Gorąco polecam, sama nie mogę się doczekać, aż zobaczę go ponownie.	10
88	choroba zwana Oscarem Szkoda, że takie przyjemne filmy dotyka choroba ludzi zwana krzyczeniem Oscar! w każdym kontekście i pokazywaniem czerwonego dywanu z informacją, że wygrał tyle i tyle. Choroba ta dotknęła Idę jakoś pół roku po tym jak uzbierała ledwie jakieś drobne na swój film i rozszerzono ją do jakiejś antypolskiej propagandy. TVN mogłoby dla odmiany pokazać problem upadku jazzu w filmie w uosobieniu ...	8
89	La la land Bardzo mi sie podobał. Przy koncowce bylam bardzo wzruszona i poruszona ta historia...po takie emocje sie idzie do kina. Mozna wybaczyc slabe wokale aktorow i dretawy taniec, momentami troche za malo emocji, jednak nie pokazanie wszystkiego wprost jest tu duzym plusem.	9
90	Travolta Land Czy to: http://www.hejbatka.cz/gif/982 7 wam czegoś https://media.balls.ie/uploads /2015/12/09105922/1353.gif nie przypomina? :-D	10
91	To nie jest musical Obejrzałem i zachwyciła mnie gra aktorska. Piosenki chodzą za mną. Mia złamała mi serce tym co zrobiła na końcu i przez nią płaczę po nocach w poduszkę. Ale im dłużej ten film trawię tym bardziej dochodzę do wniosku że nie jest to ani romans ani musical. To dramat. I to na miarę Obywatela Kane. Dlaczego? No bo co my tu mamy? Dwoje ludzi. Co o nich wiemy? W zasadzie poza tym że ona jest kelnerką ...	10
92	Nuda! Widziałam bardzo dużo musicali, ten film to nieporozumienie. Nie dotarłam nawet do połowy, wyłączyłam.	2
93	Musical dla cierpliwych. Przez jakiś czas wydawał się nudny, więc na trzy podejścia go obejrzałem. To nie jest mój ulubiony typ filmów. Miałem dać ocenę 7 , ale za mądrą treść zasługuje na 8.	8
94	MEDŻIK. Po prostu magia. Dokładnie tego się spodziewałem po zapowiedziach i przychylnych recenzjach ;) Recenzja poniżej. Jak Wam się podobał? https://www.facebook.com/kinom aniek/photos/a.141815389488401 6.1073741828.1408071552558917/ 1493559830676755/?type=3&a mp;theater	9
95	Z tym filmem jest jak z modą, już dawno straciła kontakt z rzeczywistością Wystarczy spojrzeć na relacje z wybiegów gdzie kobiety-patyki lansują dziwne buty i śmieszne stroje których nikt normalny nie założy a jednak znajdują się tacy którzy za to płacą i to oklaskują. Czy są to ludzie bardziej wyrafinowani o innym postrzeganiu świata? Pewnie tak i tylko stan zasobności portfela różni ich od tych którzy właśnie ...	3
96	Co za szmira!!! Nuda i kicz.	3
97	Antymusical Uwaga Spoiler! Ten temat może zawierać treści zdradzające fabułę.	8
98	L.A. Story Piać z zachwytu nie będę,tym niemniej oglądało się przyjemnie,nie powiem. Nie klasyczny musical,raczej muzyczny romans, z ciekawymi rolami Goslinga i Stone i magicznym L.A w tle. Oddanie hołdu dawnym musicalom i w ogóle dawnemu Hollywood. Duży dobrej muzyki,ze szczególnym uwzględnieniem Jazzu. Nic wielkiego,fabuła raczej pretekstowa,ale ogląda się,pomaga się zrelaksować,a to już coś.Z pewnością nie jest to ...	6
99	Wróciłem właśnie drugi raz z kina... ...końcówka mnie znowu tak wzięła do siebie, że się rozryczałem jak bóbr. Piękny film.	10
100	Pierwszy musical od Chicago (2002) który wygra oscary? Jak na razie wydaje się być faworytem a na pewno jest w TOP3. Wygląda troche jak throwback, ukłon w kierunku dawnego kina. Zwiastuny robią wrażenie, a pierwsze recenzje już za pare dni z Wenecji.	9
101	Równo 40 Lat temu Martin Scorsese nakręcił ten sam film ( 1977) ... ale został zmieszany z błotem bo to inne czasy były; klimat i nastroje społeczeństwa. Dzisiaj ludzie potrzebują dosłownych drogowskazów ( w kwesti nawet takich oczywistych oczywistości - co w życiu ważne jest ) dlatego tyle nagród dla tego filmu. Wcześniejszy film tego reżysera zasłużył na wszystkie nagrody - ten ewentualnie na nagrodę ...	6
102	Rzeczywistość lub marzenie Musicale są jednym z niedocenianych gatunków filmowych w świecie kina. Zazwyczaj kojarzyłam je z przesłodzonym, wymuszonym i empatycznym śpiewaniem głównych bohaterów oraz nudnymi, chaotycznymi choreografiami. Wybierając się na film la la land w reżyserii Damiena Chazellea byłam step-tycznie nastawiona. Obawiałam się ckliwej historii miłosnej, która wymusza w odbiorcy płacz. Treści ...	8
