review,score,score_predict
wysyp nagrod i nominacji niesmieszny zart hollywood uwielbia takie historie mlodzi spelniaja marzenia za pomoca ciezkiej pracy pelnej wyrzeczen a fabryka snow pozwala opakowane w nostalgiczny a raczej konserwatywny musical z ery z ktorej akademicy prostu dumni dziwota wszyscy filmem zachwycili jednak o w przypadku nominacji oskarowych w kategoriach,6,7
film cudowny muzyka zdjecia aktorzy historia cos niesamowitego pomimo poznej godziny ogladania odczulam zmeczenia gdyz bylam kompletnie oczarowana,10,10
hej george michael mily akcent mysle z tego powodu teraz milo georgeowi wolno bylo odejsc ale odszedl osierocil nowy rok nadszedl mysle george by pogniewal gdybysmy przy muzyce byli,8,8
poczatkujaca aktorka i muzyk pragnacy otworzyc swoj klub jazzowy zakochuja w sobie w goracym hollywood uroczy film o marzycielach i marzycieli roztanczona rozspiewana i kolorowa bajka o krainie snow wiecej a land recenzja filmu html,8,10
podobne filmy dzien szaranczy johna schlesingera o poczatkujacym scenografie i aktorce rodzacym miedzy uczuciu i o poczatkach hollywoodu poruszajacy,8,8
za te siedem zlotych globow pytam jedynie muzyka oscarowa reszta nominacji komentarza,6,3
rewelacyjny powrot rezysera damien chazelle genialnym whiplashu powraca z rewelacyjnym musicalem o spelnianiu marzen wyjatkowy film albowiem zachwyca wielu plaszczyznach zarowno fabularnej aktorskiej no i przede wszystkim technicznej wzruszajacy piekny i godny polecenia wiecej o filmie w mojej recenzji zapraszam ogspot com la la land html,8,9
zapraszam glosowania la la land najlepszy film roku,9,10
zapraszam glosowania la la land najlepszy film roku,9,10
wpis zostal zablokowany z uwagi niezgodnosc z regulaminem,6,8
